event_date,event_code,case_id
1/3/2014,6,40634/2014
1/5/2014,6,68863/2014
1/10/2014,6,56004/2014
1/10/2014,6,92295/2014
1/11/2014,6,79688/2014
1/13/2014,6,64595/2014
1/15/2014,6,35865/2014
1/19/2014,6,29242/2014
1/26/2014,6,82226/2014
2/1/2014,6,24713/2014
2/3/2014,20,40634/2014
2/3/2014,6,67107/2014
2/5/2014,6,34398/2014
2/5/2014,20,68863/2014
2/6/2014,6,59925/2014
2/8/2014,6,15804/2014
2/8/2014,6,33192/2014
2/10/2014,20,56004/2014
2/10/2014,6,59994/2014
2/10/2014,6,71101/2014
2/12/2014,6,71220/2014
2/19/2014,20,29242/2014
2/24/2014,6,67507/2014
2/25/2014,6,9942/2014
3/1/2014,20,24713/2014
3/5/2014,20,34398/2014
3/8/2014,20,15804/2014
3/8/2014,6,78401/2014
3/10/2014,6,55230/2014
3/10/2014,20,92295/2014
3/10/2014,55,92295/2014
3/11/2014,20,79688/2014
3/13/2014,20,64595/2014
3/14/2014,6,30579/2014
3/15/2014,20,35865/2014
3/23/2014,6,41449/2014
3/23/2014,6,87530/2014
3/25/2014,20,9942/2014
3/26/2014,20,82226/2014
3/27/2014,6,17059/2014
3/28/2014,6,90074/2014
4/3/2014,55,40634/2014
4/3/2014,20,67107/2014
4/5/2014,55,34398/2014
4/6/2014,20,59925/2014
4/8/2014,20,33192/2014
4/8/2014,55,33192/2014
4/9/2014,6,41824/2014
4/10/2014,20,55230/2014
4/10/2014,55,56004/2014
4/10/2014,20,59994/2014
4/10/2014,55,59994/2014
4/10/2014,20,71101/2014
4/11/2014,55,79688/2014
4/12/2014,20,71220/2014
4/13/2014,55,64595/2014
4/19/2014,6,1686/2014
4/20/2014,6,52653/2014
4/22/2014,6,60930/2014
4/23/2014,20,41449/2014
4/24/2014,20,67507/2014
4/24/2014,55,67507/2014
4/24/2014,6,79644/2014
4/25/2014,6,35177/2014
4/26/2014,55,82226/2014
4/26/2014,6,88164/2014
4/28/2014,20,90074/2014
5/3/2014,110,40634/2014
5/5/2014,55,68863/2014
5/6/2014,6,57550/2014
5/7/2014,6,29883/2014
5/7/2014,6,80061/2014
5/8/2014,55,15804/2014
5/8/2014,20,78401/2014
5/10/2014,6,12101/2014
5/10/2014,55,55230/2014
5/11/2014,6,18495/2014
5/11/2014,110,79688/2014
5/12/2014,55,71220/2014
5/12/2014,6,76235/2014
5/13/2014,6,61390/2014
5/14/2014,20,30579/2014
5/14/2014,6,76456/2014
5/15/2014,55,35865/2014
5/18/2014,6,81186/2014
5/19/2014,6,18047/2014
5/19/2014,55,29242/2014
5/19/2014,110,29242/2014
5/20/2014,6,38104/2014
5/20/2014,6,68378/2014
5/21/2014,6,76653/2014
5/23/2014,6,53543/2014
5/23/2014,20,87530/2014
5/24/2014,6,38002/2014
5/25/2014,20,35177/2014
5/27/2014,20,17059/2014
5/27/2014,6,39537/2014
5/27/2014,6,69017/2014
6/1/2014,55,24713/2014
6/1/2014,110,24713/2014
6/3/2014,55,67107/2014
6/6/2014,20,57550/2014
6/6/2014,55,59925/2014
6/7/2014,20,29883/2014
6/7/2014,20,80061/2014
6/8/2014,55,78401/2014
6/9/2014,20,41824/2014
6/9/2014,55,41824/2014
6/10/2014,6,25966/2014
6/10/2014,55,71101/2014
6/10/2014,110,71101/2014
6/11/2014,20,18495/2014
6/11/2014,6,28585/2014
6/12/2014,20,76235/2014
6/13/2014,6,98136/2014
6/14/2014,55,30579/2014
6/18/2014,20,81186/2014
6/19/2014,20,1686/2014
6/20/2014,20,38104/2014
6/20/2014,20,52653/2014
6/20/2014,55,52653/2014
6/21/2014,20,76653/2014
6/22/2014,20,60930/2014
6/22/2014,55,60930/2014
6/23/2014,6,33258/2014
6/23/2014,55,41449/2014
6/23/2014,55,87530/2014
6/24/2014,20,38002/2014
6/24/2014,20,79644/2014
6/25/2014,6,2957/2014
6/25/2014,55,35177/2014
6/25/2014,55,9942/2014
6/26/2014,20,88164/2014
6/26/2014,6,98561/2014
6/27/2014,20,39537/2014
7/3/2014,145,40634/2014
7/3/2014,110,67107/2014
7/3/2014,6,70784/2014
7/5/2014,6,38667/2014
7/5/2014,110,68863/2014
7/6/2014,55,57550/2014
7/6/2014,6,79215/2014
7/7/2014,55,29883/2014
7/10/2014,20,12101/2014
7/10/2014,20,25966/2014
7/10/2014,110,56004/2014
7/11/2014,55,18495/2014
7/13/2014,20,61390/2014
